day,session,worked_well,could_be_improved
Day 2,Processing datasets for cleaning,Course material was extremely good,"The exercises took a bit too long, I ended up waiting around quite a bit"
Day 2,Processing datasets for cleaning,teachers assistance and discussion on options,maybe small groups working to speed up things
Day 2,Processing datasets for cleaning,Very useful... the whole code-along and the material was super great,"Perhaps there was a little too much time for the exercises, but that is also sometimes quite nice... and I know some people struggled"
Day 2,Processing datasets for cleaning,Everything :),More reading materials and hands on before the course
Day 2,Processing datasets for cleaning,I like how you learn to go back and clean up your markdown file.,"No comments, really good!"
Day 2,Processing datasets for cleaning,Good combination of coding along and exercise and repeating,N/A
Day 2,Processing datasets for cleaning,Everything,Nothing
Day 2,Processing datasets for cleaning,Good skills to have!,"In general (all sessions), some more clear breaks would help."
Day 2,Processing datasets for cleaning,making functions that do it nicely,"sometimes going too fast and i was missing the point of doing some of the steps, as you try and hurry to keep up and get it right"
Day 2,Processing datasets for cleaning,I can't think,More explanations along the way
Day 2,Processing datasets for cleaning,everything,nothing
Day 2,Processing datasets for cleaning,"Easy to follow, good help. Introduction of new stuff.","I think there was too much time for exercises or maybe just a need for additional exercises, for the people who do not have too many problems"
Day 2,Processing datasets for cleaning,The concepts were clearly explained with examples,More exercises might be interesting
Day 2,Processing datasets for cleaning,It was really nice to experience that we 'wrapped the work up' - it somehow gave an overview of what we had been doing.,"Maybe I felt like I needed information on how to use everything as documentation for others - like if we should link or refer to our statistics in a paper, how would we do that? Would it be with a R markdown file?"
Day 2,Processing datasets for cleaning,"Very simple and concise way of teaching the concept, especially regular expressions. I never knew that you could export data as a ready R-data file, so it was great to know that that is possible.",A lot of the code-along section did not specify arguments. I would prefer to get them defined the first time when using them.
Day 2,Processing datasets for cleaning,"Combining different data frames together, wrangling data into a final form and generating a framework to do that was very beneficial for me.","I think this session was intense. I feel that, after this session we all become tired and could not focus well to the next session."
Day 2,Workflow to analyzing your tidy data,Luke was a really engaging speaker to finish off the day.,Nil
Day 2,Workflow to analyzing your tidy data,the content of the session,the cut and past from the lesson (markdown) document was a bit tricky since we had so much other code in there
Day 2,Workflow to analyzing your tidy data,All worked fine.,"It's a bit hard to concentrate at the end of this part - maybe having a bit shorter days, and have an extra day (day 3) would help?"
Day 2,Workflow to analyzing your tidy data,Luke is good to explain the coding which give a higher understanding of the fundermental understanding of the elements behind coding.,"A general thought in line with previous comments is that an idea could be to spread the course over a longer period of time, so that we had the chance to work on the different sections between the course days. That would have meant that I ""mentally"", would have been more ready for this last section."
Day 2,Workflow to analyzing your tidy data,It was clear that it was very useful for my future work,It got a little too rushed which was a shame. The course could benefit from a third day
Day 2,Workflow to analyzing your tidy data,"clear, straight to the point","don't do it at last afternoon, we had to go over it quite fast :("
Day 2,Workflow to analyzing your tidy data,It was very interesting material,"It was only a shame that there was not enough time to over it all, I think the content was very nice, especially the debugging."
Day 2,Workflow to analyzing your tidy data,Everything :),"The same goes here, more reading or watching materials before the course"
Day 2,Workflow to analyzing your tidy data,"I like how you create a clean version of the dataset that you start with after. Overall, the layout of how we should be organizing ourselves was the most helpful to mee.","No comments, I would just say more time maybe for the remaining part we did not finish. I would also like to see creation of functions to use for linear regression models."
Day 2,Workflow to analyzing your tidy data,Great introduction and exercises,N/A
Day 2,Workflow to analyzing your tidy data,All good,Nothing
Day 2,Workflow to analyzing your tidy data,Also good skilles to have.,This was a bit too complecated for me. But might have been suitable for others.
Day 2,Workflow to analyzing your tidy data,as above..(?),as above
Day 2,Workflow to analyzing your tidy data,?,More time
Day 2,Workflow to analyzing your tidy data,everything,nothing
Day 2,Workflow to analyzing your tidy data,Important subject about pivoting.,"Maybe a bit too many details on the pivoting functions and too little practical exercise. In my experience pivoting can cause a loot of problems, that you usually do not think about until they occur."
Day 2,Workflow to analyzing your tidy data,Very useful concepts explained nicely with examples,Nothing that I can think of now
Day 2,Workflow to analyzing your tidy data,We did not have much time but it was nice that Luke went through everything quickly,If the course was prolonged with another day then maybe we would have more energy to follow along and complete all the steps.
Day 2,Workflow to analyzing your tidy data,Worked very well overall.,Dont know.
Day 2,Workflow to analyzing your tidy data,Coding along worked very well.,"It think this session was very important but it was difficult for me to focus after the first session of the day. May be with additional exercises, this session can be performed on an extra day for the intermediate course."
